"Jurisdiction","Range","Cases Reported","Community Transmission","URL"
"Alabama","1001 to 5000","4572","Yes, defined area(s)","http://www.adph.org/"
"Alaska","101 to 1000","309","Yes, defined area(s)","http://dhss.alaska.gov/Pages/default.aspx"
"American Samoa","None","None","N/A","http://dhss.as/"
"Arizona","1001 to 5000","4507","Yes, widespread","http://www.azdhs.gov/"
"Arkansas","1001 to 5000","1702","Yes, widespread","https://www.healthy.arkansas.gov/"
"California","10001 or more","27528","Yes, widespread","https://www.cdph.ca.gov/"
"Colorado","5001 to 10000","9047","Yes, widespread","https://www.colorado.gov/cdphe"
"Connecticut","10001 or more","16809","Yes, widespread","http://www.ct.gov/dph/site/default.asp"
"Delaware","1001 to 5000","2323","Yes, widespread","http://www.dhss.delaware.gov/dhss/dph/index.html"
"District of Columbia","1001 to 5000","2476","Undetermined","http://doh.dc.gov/"
"Florida","10001 or more","24066","Yes, widespread","http://www.floridahealth.gov/"
"Georgia","10001 or more","16658","Yes, widespread","http://dph.georgia.gov/"
"Guam","101 to 1000","136","Yes, defined area(s)","https://dphss.guam.gov/dph/"
"Hawaii","101 to 1000","553","Yes, defined area(s)","http://health.hawaii.gov/"
"Idaho","1001 to 5000","1655","Yes, widespread","http://www.healthandwelfare.idaho.gov/"
"Illinois","10001 or more","27575","Yes, widespread","http://www.idph.state.il.us/"
"Indiana","10001 or more","10154","Undetermined","http://www.in.gov/isdh/"
"Iowa","1001 to 5000","2332","Yes, widespread","http://idph.iowa.gov/"
"Kansas","1001 to 5000","1760","Yes, defined area(s)","http://www.kdheks.gov/"
"Kentucky","1001 to 5000","2522","Undetermined","https://chfs.ky.gov/agencies/dph/Pages/default.aspx"
"Louisiana","10001 or more","23118","Yes, widespread","http://dhh.louisiana.gov/"
"Maine","101 to 1000","827","Yes, widespread","http://www.maine.gov/dhhs/index.shtml"
"Marshall Islands","None","None","N/A",""
"Maryland","10001 or more","11572","Yes, widespread","http://dhmh.maryland.gov/Pages/Index.aspx"
"Massachusetts","10001 or more","34402","Yes, widespread","https://www.mass.gov/orgs/department-of-public-health"
"Michigan","10001 or more","29952","Yes, defined area(s)","http://www.michigan.gov/mdch"
"Micronesia","None","None","N/A","http://www.fsmgov.org/ngovt.html"
"Minnesota","1001 to 5000","2174","Yes, widespread","http://www.health.state.mn.us/"
"Mississippi","1001 to 5000","3793","Yes, defined area(s)","http://www.msdh.state.ms.us/"
"Missouri","5001 to 10000","5283","Yes, defined area(s)","http://health.mo.gov/index.php"
"Montana","101 to 1000","422","Yes, defined area(s)","http://dphhs.mt.gov/"
"Nebraska","1001 to 5000","1138","Yes, defined area(s)","http://dhhs.ne.gov/Pages/default.aspx"
"Nevada","1001 to 5000","3524","Yes, defined area(s)","http://dpbh.nv.gov/"
"New Hampshire","1001 to 5000","1287","Yes, widespread","http://www.dhhs.nh.gov/"
"New Jersey","10001 or more","78467","Yes, widespread","http://www.state.nj.us/health/"
"New Mexico","1001 to 5000","1711","Yes, defined area(s)","http://nmhealth.org/"
"New York","10001 or more","224438","Yes, widespread","https://www.health.ny.gov/"
"North Carolina","5001 to 10000","5859","Yes, widespread","http://www.ncdhhs.gov/"
"North Dakota","101 to 1000","439","Yes, defined area(s)","http://www.ndhealth.gov/"
"Northern Marianas","1 to 100","14","Undetermined","http://chcc.gov.mp/"
"Ohio","5001 to 10000","9107","Undetermined","https://www.odh.ohio.gov/"
"Oklahoma","1001 to 5000","2465","Yes, widespread","https://www.ok.gov/health/"
"Oregon","1001 to 5000","1785","Yes, widespread","http://www.oregon.gov/oha/ph/pages/index.aspx"
"Palau","None","None","N/A","http://www.palauhealth.org/"
"Pennsylvania","10001 or more","29442","Yes, defined area(s)","https://www.health.pa.gov/Pages/default.aspx"
"Puerto Rico","1001 to 5000","1068","Undetermined","http://www.salud.gov.pr/Pages/Home.aspx"
"Rhode Island","1001 to 5000","4177","Yes, widespread","http://www.health.state.ri.us/"
"South Carolina","1001 to 5000","4086","Yes, defined area(s)","http://www.scdhec.gov/"
"South Dakota","1001 to 5000","1411","Yes, defined area(s)","http://doh.sd.gov/"
"Tennessee","5001 to 10000","6330","Yes, defined area(s)","https://www.tn.gov/health.html"
"Texas","10001 or more","17371","Undetermined","https://www.dshs.state.tx.us/"
"Utah","1001 to 5000","2805","Yes, widespread","https://health.utah.gov/"
"Vermont","101 to 1000","779","Yes, defined area(s)","http://healthvermont.gov/"
"Virgin Islands","1 to 100","54","Undetermined","https://doh.vi.gov/"
"Virginia","5001 to 10000","8053","Yes, widespread","http://www.vdh.state.va.us/"
"Washington","10001 or more","11445","Yes, widespread","http://www.doh.wa.gov/"
"West Virginia","101 to 1000","775","Yes, defined area(s)","http://www.dhhr.wv.gov/bph/Pages/default.aspx"
"Wisconsin","1001 to 5000","4045","Yes, widespread","https://www.dhs.wisconsin.gov/"
"Wyoming","101 to 1000","412","Yes, defined area(s)","http://health.wyo.gov/"
