abbr,STATE,Density,Pop,LandArea,gdpRank,stateGDP,stateGDPperc,1,Airports,Automobiles,Buses,negative,positive,death,Death Rate,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hospitalized,totalTestResults,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,lastUpdateEt,checkTimeEt,pvi,governorParty,senateParty,houseBalance
AK,Alaska,1.2863,734002,570641,46,54851,0.003,-0.3,767,173487,8080,9803,321,9,2.803738318,,46,36,,,,,161,36,10124,1,1,1,1,A,4,4/20/2020 14:00,4/20/2020 14:17,9,Republican,Republican,1R
AL,Alabama,96.9221,4908621,50645,27,224654,0.011,2,316,2065463,5682,43295,5092,173,3.397486253,,,699,,260,,157,,699,48387,1,1,0,1,B,3,4/21/2020 0:00,4/21/2020 9:28,14,Republican,Both,"6R, 1D"
AR,Arkansas,58.403,3038999,52035,34,129812,0.006,0.9,304,926789,11941,25017,1971,42,2.130898021,,93,291,,,24,57,797,291,26988,1,1,1,1,A,4,4/21/2020 8:34,4/21/2020 9:25,15,Republican,Republican,4R
AZ,Arizona,64.955,7378494,113594,20,355311,0.017,4,298,2391624,9051,49436,5064,187,3.692733017,,637,,285,,181,,1155,,54500,1,1,0,1,B,3,4/20/2020 0:00,4/20/2020 14:27,5,Republican,Both,"5D, 4R"
CA,California,256.3727,39937489,155779,1,3018337,0.145,3.5,882,14860967,99917,259522,30978,1208,3.89954161,,4674,,1480,,,,,,290500,1,1,0,1,B,3,4/20/2020 0:00,4/21/2020 8:37,-12,Democratic,Democratic,"46D, 7R"
CO,Colorado,56.4011,5845526,103642,16,376994,0.018,3.5,447,1785058,13305,37360,10106,449,4.442905205,,861,1880,,,,,,1880,47466,1,1,1,1,A,4,4/20/2020 0:00,4/20/2020 22:39,-1,Democratic,Both,"4D, 3R"
CT,Connecticut,735.8689,3563077,4842,23,279653,0.013,1,123,1302339,11378,42991,19815,1331,6.717133485,,1919,,,,,,,,62806,1,1,1,1,A,4,4/20/2020 16:00,4/20/2020 22:42,-6,Democratic,Democratic,5D
DE,Delaware,504.3073,982895,1949,42,76537,0.004,0.3,42,419199,3763,11841,3098,112,3.615235636,,402,,120,,69,,636,,14939,1,1,1,1,A,4,4/20/2020 0:00,4/21/2020 10:16,-6,Democratic,Democratic,1D
FL,Florida,410.1256,21992985,53625,4,1059144,0.051,3.5,875,7778493,59596,13725,2745,72,2.62295082,,256,,,,,,495,,16470,1,1,1,1,A,4,4/20/2020 12:00,4/20/2020 14:34,2,Republican,Republican,"14R, 13D"
GA,Georgia,186.6719,10736059,57513,9,601503,0.029,2.6,454,3536055,36418,244711,27058,840,3.104442309,1162,,4172,,,,,,4172,271769,1,1,1,1,A,4,4/20/2020 16:19,4/20/2020 23:16,5,Republican,Republican,"9R, 5D"
HI,Hawaii,219.9419,1412687,6423,38,93419,0.004,1,46,512386,3033,65381,19398,774,3.990102072,,,3702,,,,,,3702,84779,1,1,1,1,A,4,4/20/2020 18:27,4/20/2020 23:13,-18,Democratic,Democratic,2D
IA,Iowa,56.9284,3179849,55857,30,192608,0.009,1.4,279,1268996,9284,24112,578,10,1.730103806,,,55,,,,,423,55,24690,1,1,1,1,A,4,4/20/2020 18:00,4/20/2020 23:59,3,Republican,Republican,"3D, 1R"
ID,Idaho,22.0969,1826156,82643,41,78640,0.004,4.1,301,550006,3870,22661,3159,79,2.50079139,,214,,91,,58,,1235,,25820,1,1,1,1,A,4,4/19/2020 12:00,4/20/2020 14:31,19,Republican,Republican,2R
