abbr,STATE,Pop,Density,stateGDP,gdpGrowth2018,Airports,Automobiles,Buses,positive,negative,death,totalTestResults,posativeperpop,deathsperpop,deathrate,positiveScore,negativeScore,negativeRegularScore,commercialScore,score,,,abbr,STATE,predicted_positive,predicted_dead,"predicted_pop
(predicted susceptible)","predicted_positive_percent 
over predicted_pop","predicted_dead_percent
over predicted_pop","real population
(real susceptible)","predicted_positive_percent 
over real_pop","predicted_dead_percent
over real_pop"
AK,Alaska,734002,1.28627631,54851,-0.3,767,173487,8080,329,10790,9,11119,0.044822766,0.001226155,2.73556231,1,1,1,1,4,,,AK,Alaska,1818.16,316.4584,1873.2572,97.05874879,16.89348371,734002,0.247705047,0.043114106
AL,Alabama,4908621,96.92212459,224654,2,316,2065463,5682,5231,43295,177,48526,0.106567608,0.003605901,3.38367425,1,1,0,1,3,,,AL,Alabama,779.6061,111.38464,2981.0234,26.15229723,3.736456413,4908621,0.015882385,0.002269164
AR,Arkansas,3038999,58.40297876,129812,0.9,304,926789,11941,2227,25214,43,27441,0.073280709,0.00141494,1.930848675,1,1,1,1,4,,,AR,Arkansas,1457.7576,224.23813,2165.2122,67.32631564,10.35640433,3038999,0.047968347,0.007378684
AZ,Arizona,7378494,64.95496241,355311,4,298,2391624,9051,5251,49901,208,55152,0.071166284,0.002819003,3.961150257,1,1,0,1,3,,,AZ,Arizona,1426.1515,115.75246,6309.0015,22.60502712,1.834719171,7378494,0.01932849,0.001568782
CA,California,39937489,256.3727396,3018337,3.5,882,14860967,99917,33261,266839,1268,300100,0.083282652,0.003174962,3.812272632,1,1,0,1,3,,,CA,California,48018.984,5195.2656,35415.516,135.5874188,14.66946183,39937489,0.120235361,0.013008493
CO,Colorado,5845526,56.40113082,376994,3.5,447,1785058,13305,10106,37360,449,47466,0.172884356,0.007681088,4.442905205,1,1,1,1,4,,,CO,Colorado,5861.129,335.70078,2352.5742,249.1368391,14.26950869,5845526,0.100266922,0.005742867
CT,Connecticut,3563077,735.8688558,279653,1,123,1302339,11378,20360,43832,1423,64192,0.571416223,0.039937391,6.989194499,1,1,1,1,4,,,CT,Connecticut,3566.3289,1441.5591,1995.5984,178.7097494,72.23693404,3563077,0.100091267,0.040458264
DE,Delaware,982895,504.3073371,76537,0.3,42,419199,3763,2931,13725,82,16656,0.298200723,0.008342702,2.797679973,1,1,1,1,4,,,DE,Delaware,1420.7504,597.3578,3137.2126,45.28702964,19.04103662,982895,0.144547525,0.060775342
FL,Florida,21992985,410.1255944,1059144,3.5,875,7778493,59596,27495,249564,856,277059,0.125017136,0.00389215,3.113293326,1,1,1,1,4,,,FL,Florida,29819.959,3191.7708,17055.568,174.8400229,18.71395195,21992985,0.135588502,0.014512677
GA,Georgia,10736059,186.6718655,601503,2.6,454,3536055,36418,19881,68259,799,88140,0.185179683,0.007442209,4.01891253,1,1,1,1,4,,,GA,Georgia,11138.8125,1436.2258,4876.1177,228.4360876,29.45428901,10736059,0.103751409,0.013377589
HI,Hawaii,1412687,219.9419274,93419,1,46,512386,3033,584,24112,10,24696,0.04133966,0.000707871,1.712328767,1,1,1,1,4,,,HI,Hawaii,1538.0615,183.71138,3230.1528,47.61575056,5.687389773,1412687,0.108874896,0.013004394
IA,Iowa,3179849,56.92838856,192608,1.4,279,1268996,9284,3641,23974,83,27615,0.114502292,0.002610187,2.279593518,1,1,1,1,4,,,IA,Iowa,1291.8229,170.80133,2098.8357,61.54950099,8.137908556,3179849,0.040625291,0.005371366
ID,Idaho,1826156,22.09692291,78640,4.1,301,550006,3870,1736,15924,48,17660,0.095063072,0.002628472,2.764976959,1,1,1,1,4,,,ID,Idaho,2228.2195,69.854744,2567.3765,86.78974432,2.720860926,1826156,0.122016931,0.003825234
IL,Illinois,12659682,228.024316,879947,2.1,707,4655844,34359,33059,121938,1468,154997,0.261136101,0.011595868,4.440545691,1,1,1,1,4,,,IL,Illinois,15013.821,1867.0037,7473.2646,200.9004338,24.98243806,12659682,0.118595562,0.014747635
IN,Indiana,6745354,188.2809691,371629,1.9,518,2261440,20725,12097,55167,630,67264,0.179338253,0.009339762,5.207902786,1,1,1,0,3,,,IN,Indiana,852.50256,161.6417,5549.806,15.36094343,2.912564872,6745354,0.012638366,0.002396341
KS,Kansas,2910357,35.59677834,169558,1.9,372,987259,6228,2025,17076,107,19101,0.069579093,0.003676525,5.283950617,1,1,1,0,3,,,KS,Kansas,845.33905,134.43546,2607.9036,32.41450528,5.154924438,2910357,0.029045889,0.004619209
KY,Kentucky,4499692,113.9566429,211621,1.4,263,1691085,10759,3050,29770,154,32820,0.067782417,0.003422456,5.049180328,1,1,1,1,4,,,KY,Kentucky,1163.7399,264.38684,1880.2784,61.89189324,14.06104756,4499692,0.025862657,0.005875665
LA,Louisiana,4645184,107.5174521,255492,1.1,498,1389436,29160,24854,117576,1405,142430,0.535048773,0.03024638,5.653013599,1,1,1,1,4,,,LA,Louisiana,2623.1482,761.27234,799.605,328.0555024,95.20605049,4645184,0.056470275,0.016388422
MA,Massachusetts,6976597,894.4355128,575635,2.7,225,2208468,13498,41199,134173,1961,175372,0.590531458,0.02810826,4.759824268,1,1,0,1,3,,,MA,Massachusetts,7799.3184,1228.4504,10401.657,74.98149958,11.8101414,6976597,0.111792589,0.017608161
MD,Maryland,6083116,626.6731225,417776,1.6,223,2006904,22972,14193,59442,584,73635,0.233317925,0.009600343,4.114704432,1,1,1,1,4,,,MD,Maryland,7360.0137,1677.6232,2783.8962,264.3781654,60.26170085,6083116,0.120990849,0.027578353
ME,Maine,1345790,43.63356353,65349,1.9,217,387233,4339,888,14076,36,14964,0.065983549,0.002675009,4.054054054,1,1,1,1,4,,,ME,Maine,1446.1903,84.388,2908.4617,49.7235463,2.90146506,1345790,0.107460324,0.006270518
MI,Michigan,10045029,177.6654875,537087,2.7,481,3257473,8737,32967,84259,2700,117226,0.328192183,0.026878967,8.19000819,1,1,0,1,3,,,MI,Michigan,2161.881,156.53952,6513.6997,33.18975543,2.403235138,10045029,0.021521899,0.001558378
MN,Minnesota,5700671,71.59218607,374920,2.2,475,2146187,19980,2567,45130,160,47697,0.045029787,0.002806687,6.232956759,1,1,1,1,4,,,MN,Minnesota,4488.9854,572.11804,982.10236,457.0791786,58.25442065,5700671,0.07874486,0.010035977
MO,Missouri,6169270,89.74527945,323287,2.3,510,2141050,27180,5941,51179,189,57120,0.096299886,0.003063572,3.181282612,1,1,1,1,4,,,MO,Missouri,5762.998,734.6211,1698.7582,339.2476928,43.24459479,6169270,0.093414586,0.011907748
MS,Mississippi,2989260,63.70564542,115749,1,235,822864,8018,4716,47648,183,52364,0.157764798,0.006121916,3.880407125,1,1,1,1,4,,,MS,Mississippi,1496.0315,167.0224,2531.2424,59.10265647,6.598435614,2989260,0.050046885,0.005587416
MT,Montana,1086759,7.466773391,49635,0.9,301,441392,4702,437,10804,12,11241,0.040211307,0.001104201,2.745995423,1,1,1,1,4,,,MT,Montana,1665.6029,136.61281,2758.8184,60.37377814,4.951859463,1086759,0.153263318,0.012570663
NC,North Carolina,10611862,218.2702291,575605,2.9,486,3317918,32493,6951,76380,213,83331,0.065502171,0.002007188,3.064307294,1,1,1,1,4,,,NC,North Carolina,11562.599,1368.0345,5243.2505,220.5234902,26.09134353,10611862,0.108959191,0.012891559
ND,North Dakota,761723,11.03930378,55657,2.5,282,276545,3331,644,14343,13,14987,0.084545169,0.001706657,2.01863354,1,1,1,0,3,,,ND,North Dakota,1042.3505,133.5841,3261.3806,31.96040658,4.095937162,761723,0.136841148,0.017537097
NE,Nebraska,1952570,25.416146,124742,1.5,246,677040,13564,1648,14724,33,16372,0.084401584,0.00169008,2.002427184,1,1,1,1,4,,,NE,Nebraska,1389.8978,162.1416,2328.446,59.69207789,6.963511286,1952570,0.071182995,0.00830401
NH,New Hampshire,1371246,153.1605049,86046,2.2,186,505381,2871,1491,12848,42,14339,0.108733225,0.003062908,2.816901408,1,1,1,0,3,,,NH,New Hampshire,1042.7155,117.13408,3328.8538,31.32355948,3.518751109,1371246,0.076041462,0.008542164
NJ,New Jersey,8936574,1215.199075,634721,2,320,2798699,25097,92387,92439,4753,184826,1.03380781,0.05318593,5.14466321,1,1,1,1,4,,,NJ,New Jersey,17927.225,3143.1438,9770.087,183.4909454,32.17109326,8936574,0.20060512,0.035171687
NM,New Mexico,2096640,17.28503355,101452,1.8,171,609494,6278,1971,36784,58,38755,0.094007555,0.002766331,2.942668696,1,1,1,1,4,,,NM,New Mexico,1452.5975,90.68938,2837.9426,51.1848795,3.19560304,2096640,0.069282161,0.004325463
NV,Nevada,3139658,28.59928403,168752,3.2,139,1047508,3198,3937,29118,163,33055,0.125395823,0.005191648,4.14020828,1,1,1,1,4,,,NV,Nevada,1435.4547,60.43693,2720.1497,52.7711655,2.221823674,3139658,0.045720098,0.001924953
NY,New York,19440469,412.5210924,1701399,2.1,551,4563035,80446,251690,397635,14828,649325,1.294670412,0.07627388,5.89137431,1,1,1,1,4,,,NY,New York,26618.598,3984.0803,14832.712,179.4587396,26.86009342,19440469,0.136923641,0.020493746
OH,Ohio,11747694,287.5038301,689139,1.8,660,4605459,41255,13250,80989,557,94239,0.112788093,0.004741356,4.203773585,1,1,0,1,3,,,OH,Ohio,9418.7,1077.3569,10543.464,89.33212083,10.21824421,11747694,0.080174884,0.009170795
OK,Oklahoma,3954821,57.65465413,203250,1.8,457,1337624,3155,2807,41537,164,44344,0.070976664,0.004146837,5.842536516,1,1,0,1,3,,,OK,Oklahoma,768.68634,130.8846,2617.1677,29.37092415,5.001001655,3954821,0.019436691,0.003309495
OR,Oregon,4301089,44.80861149,243085,3.4,442,1542461,17691,2002,39126,78,41128,0.046546351,0.001813494,3.896103896,1,1,1,1,4,,,OR,Oregon,5075.692,282.65054,1926.9669,263.4031752,14.66815751,4301089,0.118009462,0.006571604
PA,Pennsylvania,12820878,286.5448897,803307,2.1,758,4463267,55935,34528,132323,1564,166851,0.269310729,0.012198853,4.52965709,1,1,1,1,4,,,PA,Pennsylvania,18314.162,2405.2378,9699.176,188.8218339,24.79837256,12820878,0.142846395,0.01876032
RI,Rhode Island,1056161,1021.432302,61341,0.6,22,420313,2273,5500,33833,171,39333,0.520753938,0.016190713,3.109090909,1,1,1,0,3,,,RI,Rhode Island,1261.2245,674.6033,4667.7344,27.0200571,14.45247827,1056161,0.119415932,0.06387315
SC,South Carolina,5210095,173.3174212,234367,1.6,196,1808401,17728,4439,36838,124,41277,0.085199982,0.002379995,2.793421942,1,1,1,0,3,,,SC,South Carolina,755.023,142.02933,2966.743,25.44955866,4.787382325,5210095,0.01449154,0.002726041
SD,South Dakota,903027,11.91155637,52544,1.3,185,353180,2614,1755,11060,8,12815,0.194346348,0.000885909,0.455840456,1,1,1,1,4,,,SD,South Dakota,1653.7682,105.90611,3126.4827,52.8954854,3.387388326,903027,0.183136075,0.011727901
TN,Tennessee,6897576,167.2747908,373663,3,339,2325004,29158,7394,100788,157,108182,0.107197079,0.002276162,2.123343251,1,1,1,1,4,,,TN,Tennessee,7539.051,908.03076,2995.1162,251.7114695,30.31704613,6897576,0.109300006,0.013164491
TX,Texas,29472295,112.8203857,1818585,3.2,2031,8176879,67143,20196,185203,517,205399,0.068525373,0.00175419,2.559912854,1,1,1,1,4,,,TX,Texas,40947.848,3758.259,25194.885,162.5244489,14.91675394,29472295,0.138936747,0.012751837
UT,Utah,3282115,39.94298406,180862,4.3,156,925052,6109,3296,69062,32,72358,0.10042305,0.000974981,0.970873786,1,1,1,1,4,,,UT,Utah,2802.2175,108.77582,2556.3792,109.6166602,4.255073739,3282115,0.085378407,0.003314199
VA,Virginia,8626207,218.4402887,544348,2.8,431,3251339,34268,9451,48903,324,58354,0.109561479,0.003755996,3.428208655,1,1,1,1,4,,,VA,Virginia,10863.249,1366.2988,4795.9043,226.5109627,28.48886705,8626207,0.12593309,0.015838929
VT,Vermont,628061,68.1415862,34154,1.2,89,221936,1070,818,12293,40,13111,0.130242126,0.006368808,4.88997555,1,1,1,1,4,,,VT,Vermont,1721.6476,102.53168,3462.9817,49.71575796,2.960791852,628061,0.274121081,0.016325115
WA,Washington,7797095,117.3271789,576624,5.7,538,2925765,23566,12085,128926,652,141011,0.154993623,0.008362089,5.395117915,0,1,0,1,2,,,WA,Washington,6197.692,278.334,15921.956,38.92544358,1.748114365,7797095,0.079487194,0.003569714
WI,Wisconsin,5851754,108.0496695,342470,2.5,540,2092584,15567,4620,47841,242,52461,0.078950687,0.004135512,5.238095238,1,1,1,1,4,,,WI,Wisconsin,5248.5747,508.53027,1505.2491,348.6847924,33.78379499,5851754,0.089692333,0.00869022
WV,West Virginia,1778070,73.96913221,79168,2.4,125,562984,3342,914,21849,26,22763,0.05140405,0.00146226,2.84463895,1,1,1,0,3,,,WV,West Virginia,1109.8864,117.81212,3481.7576,31.87718754,3.383696786,1778070,0.06242085,0.006625843
WY,Wyoming,567025,5.840019363,39899,0.3,121,193523,4219,320,7301,6,7621,0.056434901,0.001058154,1.875,1,1,1,1,4,,,WY,Wyoming,1928.8865,165.00296,3339.887,57.75304673,4.940375528,567025,0.340176624,0.029099768
